TIC,role,verdict,sector,lc_pts_in_sector,t0_shift_phase,lc_dip_sigma,compactness,n_in,n_out,dip_sigma,diff_peak_snr,centroid_offset_px,centroid_offset_arcsec,nearest_capable_TIC,nearest_capable_dist_px,nearest_capable_dTmag,n_capable_in_cutout,note
299139880,candidate,UNRESOLVED,9,1103,-0.0025000000000000022,55.84876999406926,1.0,17,443,38.12596961125618,29.08534605650146,0.3174150219005541,6.665715459911636,299139900,0.1716728391990386,2.4053000000000004,40,a capable neighbour is as close to the dimming as the target
810800604,candidate,UNRESOLVED,9,1103,-0.0025000000000000022,37.564193721860114,1.0,32,463,1.9869909125078873,5.311959153634846,0.06174574849654319,1.296660718427407,810800593,0.00867384372827304,2.1679999999999993,484,a capable neighbour is as close to the dimming as the target
237507898,candidate,OFF_TARGET,6,903,-0.002500000000000002,83.21699853274818,0.8402583371928606,32,365,10.29766227673967,29.414195892757654,1.5946180234709129,33.48697849288917,237507887,0.16915777707859778,-2.7315000000000005,54,
380943251,candidate,ON_TARGET,3,798,0.0,25.927040790500165,0.9296496639765343,59,428,31.886386856107155,15.257971295075627,0.12886015233029685,2.706063198936234,380941073,4.651383685677662,0.5945,3,
329814247,candidate,OFF_TARGET,11,1080,0.0,65.25757174373862,0.8172682638805961,50,459,116.49818360418521,260.22780133822687,2.4419804375077288,51.281589187662306,1049416907,0.0511498980937996,-0.5433000000000003,80,
273150032,candidate,OFF_TARGET,11,1080,0.0025000000000000577,44.89815481023641,0.8432899476646849,32,512,96.45747926226423,161.3295616798807,1.352628988497316,28.405208758443635,273150092,0.06491807565153856,-0.1034999999999986,52,
87175640,candidate,OFF_TARGET,13,1176,-0.0025000000000000022,45.65228357038812,0.9062443611059295,29,522,2.1004650653482075,46.30820819026478,2.057096411639999,43.19902464443998,87175673,0.09192694574886594,-1.2348,56,
127263318,candidate,OFF_TARGET,7,1071,0.005000000000000005,48.90612245545967,0.5659680904976894,33,429,36.15475353407686,20.41734310832861,3.8083288279732477,79.9749053874382,127263222,0.29078756474466705,2.1875,117,
315681366,candidate,UNRESOLVED,12,1085,0.025000000000000022,15.24295148112911,0.8335232771121303,87,505,36.58084785761309,44.31218513480886,0.9280970818896604,19.490038719682868,1231010115,0.34462108388736185,0.28469999999999906,626,a capable neighbour is as close to the dimming as the target
308628103,candidate,OFF_TARGET,11,1080,0.0,57.843183685571425,0.8068520270393069,36,476,95.0876047443233,223.0346142733565,2.3879072421231897,50.146052084586984,308628241,0.15378358551924132,-1.1441,92,
111381330,candidate,OFF_TARGET,87,11337,-0.0025000000000000022,40.680915979700174,0.7353693651001333,423,4386,2.297187299311628,48.40184903732735,3.171645753103073,66.60456081516453,111381361,0.3117865005124071,1.7849000000000004,50,
323764927,candidate,INCONCLUSIVE,13,1120,-0.0025000000000000022,23.139541761512042,0.0,76,486,26.553069745821993,29.230340783895667,4.784680806338845,100.47829693311576,1701595883,0.15343565117059615,3.3625000000000007,484,dimming is spread across the cutout rather than one star (background/systematics) - source cannot be located
348345578,candidate,OFF_TARGET,12,1045,0.0,13.931641765637147,1.0,44,473,8.737979669579957,41.57831360607545,1.380667637014602,28.994020377306644,348345616,0.17872151112717827,2.7178999999999984,126,
465334170,candidate,OFF_TARGET,10,1107,0.3325,7.311602591777099,1.0,82,468,3.5534655004773374,8.136413117895643,1.0297768461354289,21.625313768844006,465334215,0.04978873679028448,0.5456000000000003,1138,
247637164,candidate,INCONCLUSIVE,6,903,0.0,45.52243592692512,0.0,16,408,8.377079597531939,8.45843069647631,4.385936484158401,92.10466616732643,247637110,0.8288659194566572,-3.6059,54,dimming is spread across the cutout rather than one star (background/systematics) - source cannot be located
66716482,candidate,ON_TARGET,46,3315,-0.0025000000000000022,44.543513025671956,0.9114011637311337,48,1424,49.71112711591763,21.507998946020738,0.35027335599176734,7.3557404758271145,66715933,2.1300247258792564,2.343,2,
233666475,candidate,OFF_TARGET,12,1054,0.015000000000000015,15.617680648509944,0.9475469173238831,109,478,6.954361359504553,86.70292804058487,2.110547281373623,44.32149290884608,233664119,0.032786901127115034,-1.2769999999999992,563,
295348592,candidate,OFF_TARGET,11,1080,-0.020000000000000018,27.5771348874123,0.8656634891887355,141,461,29.860190805030534,43.17654066323537,1.5783211074829382,33.144743257141705,1132348056,0.12292250393526942,4.202300000000001,455,
313365243,candidate,OFF_TARGET,11,1080,-0.012500000000000011,32.73236963844832,0.8659745318682227,91,472,17.458177949245993,154.4089811480517,1.7812649058382513,37.40656302260328,313365142,0.10297242311913667,0.00969999999999871,322,
125941416,candidate,OFF_TARGET,7,1071,-0.0025000000000000022,29.895393764563693,0.7325420241459023,57,457,33.70837554009092,31.921197856034752,1.838012625935026,38.59826514463555,125722194,0.10492552687333441,-2.930200000000001,234,
