TIC,verdict,bls_depth,bls_snr,n_eclipses_observed,target_Tmag,tic_contratio,dm_max,n_neighbours,n_capable_neighbours,blend_status,best_nbr_TIC,best_nbr_dTmag,best_nbr_sep_arcsec,best_nbr_required_depth,capable_nbr_known_as
343034455,NOVEL,0.0398908938207056,27.58901255002687,5.0,14.0461,,3.497815581257784,363,53,BLEND_POSSIBLE,343034401.0,-2.0448999999999984,48.489308239501874,0.006066158693923807,
3516691,NOVEL,0.0133155272651564,50.16086867429706,43.0,14.8433,,4.689104079481272,93,61,BLEND_POSSIBLE,3516741.0,-1.5335999999999999,58.637205445716106,0.003242786588585195,
35727587,NOVEL,0.0019910663231604,58.19149981825976,37.0,13.6563,,6.75228568305196,544,495,BLEND_POSSIBLE,35727585.0,-1.6663999999999994,44.09747377432788,0.00042906760563507436,
362115607,KNOWN_OTHER_TYPE,0.0331508678066683,100.58679309436036,31.0,14.8222,,3.6987627459221963,113,49,BLEND_POSSIBLE,362115592.0,-2.7994000000000003,37.547020700864266,0.0025161405776276875,
366749440,NOVEL,0.0004139979884085,19.208539822537823,4.0,8.29007,,8.45750442271231,33,4,BLEND_POSSIBLE,366749421.0,1.9372299999999996,52.47615131472357,0.002465416117999074,
378067576,NOVEL,0.0604560919642945,91.20615401682365,120.0,12.6202,,3.0463998253796962,300,21,BLEND_POSSIBLE,378067537.0,-0.2895000000000003,33.333132657521155,0.04630629880417447,
386206443,KNOWN_OTHER_TYPE,0.0170532460434892,27.31876969950387,3.0,14.2621,,4.420482354787696,74,35,BLEND_POSSIBLE,386206421.0,-0.7456999999999994,61.56459972833442,0.008580785743925673,
387142107,NOVEL,0.0457525891663695,184.35170617405257,11.0,12.7015,0.239816934,3.3489608097944092,30,3,BLEND_POSSIBLE,387142115.0,0.5395000000000003,30.62908705883877,0.07519962520660874,
394085020,KNOWN_OTHER_TYPE,0.0181221086783018,60.45959917531625,22.0,13.5999,,4.354478173647426,7,1,BLEND_POSSIBLE,403206360.0,3.339699999999999,53.70028784695712,0.39272516473309854,
394420407,KNOWN_OTHER_TYPE,0.5223103091295546,446.6717517043114,3.0,12.3509,2.504278,0.7051785054156817,364,2,BLEND_POSSIBLE,394420403.0,-0.9308999999999994,8.301760923522615,0.22159940901436484,
402613330,NOVEL,0.0004915445103502,19.737580811956462,3.0,8.19808,,8.271092874517352,90,12,BLEND_POSSIBLE,402613332.0,5.37922,31.510706281664188,0.06970290045415244,
411434067,NOVEL,0.0428867735512509,192.9009286180517,39.0,12.9067,,3.419191563208276,8,3,BLEND_POSSIBLE,411429811.0,-1.8833000000000002,34.82760084910234,0.0075683877606858565,
412633548,NOVEL,0.0850527512443017,199.49707093160563,23.0,14.9947,,2.675779083703099,368,66,BLEND_POSSIBLE,412633616.0,-3.5008,42.9174832645629,0.0033835170283814473,
417861102,NOVEL,0.0194097209347311,27.07948562962417,19.0,13.835,,4.279951771701379,84,31,BLEND_POSSIBLE,417861108.0,-1.9736000000000011,62.42557909761087,0.0031519497949405824,
421566477,NOVEL,0.0441018363772221,541.5146106696648,22.0,14.926,,3.3888583159058183,247,118,BLEND_POSSIBLE,423398759.0,-4.207800000000001,38.17470961389797,0.0009148221548087264,
426236217,NOVEL,0.3589824217873917,894.8374121331576,5.0,14.8997,,1.1123170422564557,68,8,BLEND_POSSIBLE,426236231.0,-2.8415,29.490099145507436,0.02621037189309438,
427332229,KNOWN_TOI,0.0086033562781794,80.869982689952,5.0,11.021,0.000476474059,5.163330229815672,1,0,BLEND_RULED_OUT,,,,,
43333100,NOVEL,0.0002380657932495,12.213604720524106,24.0,9.4575,,9.058257505505242,9,4,BLEND_POSSIBLE,1507012766.0,8.177399999999999,61.010005522782826,0.4442802399965221,
433770378,KNOWN_OTHER_TYPE,0.0016108858075791,27.13193207553424,3.0,9.9143,,6.982338111856997,649,65,BLEND_POSSIBLE,433770500.0,2.223799999999999,47.95187480104318,0.012490641834153807,
437150434,NOVEL,0.1500325939135055,1081.0130168195617,4.0,11.9441,0.206699669,2.059535955376237,56,2,BLEND_POSSIBLE,437150402.0,1.4598999999999993,37.61663048120478,0.5756329132538914,
453937711,KNOWN_OTHER_TYPE,0.0248961409351603,197.4208424063532,6.0,12.9569,1.65562272,4.009669915438539,65,11,BLEND_POSSIBLE,453937716.0,-1.4433999999999987,10.713273155176603,0.006588279780707551,
458301068,NOVEL,0.0108876301318767,94.97506605038768,28.0,14.7118,,4.9076666028727045,238,161,BLEND_POSSIBLE,458301170.0,-4.369300000000001,60.60132629470713,0.0001946316026909282,
