TIC,bls_period,bls_depth,bls_snr,verdict,exoplanet_conflict,vsx_match,vsx_name,vsx_type,vsx_period,asassn_match,asassn_queried_ok,asassn_name,asassn_type,asassn_period,gaia_veb_match,gaia_veb_period,gaia_class_match,gaia_class,gaia_class_score,period_check_source,period_check
262775292,13.212550934934216,0.1591196035549258,348.5880589484313,KNOWN_OTHER_TYPE,False,True,Gaia DR3 5962654791626311424,RS,,False,True,,,,False,,True,RS,0.52012134,,no_catalog_period
273158289,1.151882938585293,0.0125462734332341,41.26919130495207,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
278233128,33.59348122668497,0.2504616924293998,156.38205599887652,KNOWN_OTHER_TYPE,False,True,Gaia DR3 1820622828503613824,SR|M,46.23,False,True,,,,False,,True,LPV,0.8698307,vsx,disagrees(ratio=0.7267)
280490331,0.8410679861139274,0.0034386938031689,51.0384641472636,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
281176866,13.126752497722798,0.239763684042996,257.73780992699034,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
281286325,17.01801073242722,0.0066087982330431,12.934877501170693,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
282345650,27.09254689624314,0.3511603424632393,1235.8258851333342,KNOWN_OTHER_TYPE,False,True,ASASSN-V J190138.92+183820.8,SR,71.09,True,True,J190138.83+183821.7,SR,71.094,False,,True,LPV,0.95210844,vsx,disagrees(ratio=0.3811)
285526589,24.1864149537958,0.0527109149115445,101.44743967593966,KNOWN_OTHER_TYPE,False,True,Gaia DR3 5533959296687864192,ROT,,False,True,,,,False,,True,SOLAR_LIKE,0.44957832,,no_catalog_period
287846593,1.7622511272952033,0.0846077443033173,3076.457002581413,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
289799635,12.365231758167017,0.1022610766294117,114.64952136613668,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
290958279,7.689500551692346,0.0018865004910181,15.351218303213598,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
29216744,1.108326864407436,0.0451810713037801,141.48774443607496,KNOWN_OTHER_TYPE,False,True,Gaia DR3 5331550029333155584,VAR,0.015124,False,True,,,,False,,False,,,vsx,disagrees(ratio=73.2827)
294657132,13.604416399747576,0.6008258913315335,1400.942462709709,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
294852916,2.546779832363934,0.0144593405933424,357.39540457810057,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
29495157,5.147448543522719,0.0857856252931797,333.23644002774006,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
298215657,3.0975897908114414,0.0036197085661879,16.34983997169683,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
303470667,5.431909907725591,0.0221977249554096,56.9755696599801,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
304809821,0.7697173295530879,0.0372732709724049,127.16795161523324,KNOWN_OTHER_TYPE,False,True,Gaia DR3 5335202087268263552,S,,False,True,,,,False,,True,S,0.9438097,,no_catalog_period
304889252,0.7932578257742319,0.0567387241544411,230.28107172110185,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
307392778,0.7255038097101628,0.0071891283509764,16.17337203871759,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
308474943,0.924775362960116,0.0074660606548438,40.80263896573244,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
309240602,4.119454357700242,0.0706914616810379,234.36121843983744,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
309672362,1.8162914726229744,0.0041137198726922,23.285909148859467,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
309674872,12.999681787077638,0.006264440771713,23.909567294830868,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
31123635,13.10466008998574,0.015788331093626,397.42375819238623,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
313356920,3.335965931423492,0.0084937860584415,52.94050393866905,KNOWN_OTHER_TYPE,False,True,ZTF J142745.11+324810.3,BY,3.2773385,False,True,,,,False,,True,SOLAR_LIKE,0.72951424,vsx,disagrees(ratio=1.0179)
313569577,0.9025875981330648,0.0167141688738997,205.25053185791583,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
315702957,27.03281039950611,0.3326540766246921,186.5203925948285,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
316236490,27.005968408264383,0.3101566421508562,178.19433503559475,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
31717527,8.111361712496553,0.0008619339528429,19.57044119117101,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
318928219,2.7149268133440856,0.0418325279225744,383.1461845522305,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
320474615,4.584394125843311,0.0154674647474779,21.722492785169344,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
323775614,14.106123751470804,0.5513851305924645,433.8340059915962,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
323961620,1.5750813413094311,0.0043311300626525,61.19139479354838,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
326260517,35.206903038374826,0.0198235021591427,91.15218078202749,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
329832608,13.945488523013434,0.0396381064565958,386.2556267008232,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
330234939,13.386822455766584,0.2201183314628002,39.4340615348187,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
