span_days,max_period,period_over_max,n_eclipses_observed,n_eclipses_possible,n_data_gaps,frac_intransit_near_gap,frac_all_near_gap,TIC,verdict,bls_period,bls_depth,bls_snr,period_band,lt3_eclipses,at_ceiling
52.33296627457821,26.166483137289106,0.03214295103018049,59,62.22204047544073,4,0.05405405405405406,0.06558118498417007,280490331,NOVEL,0.8410679861139274,0.0034386938031689,51.0384641472636,other,False,False
52.333048250252205,26.166524125126102,0.501662063900875,1,3.9867475416582154,4,1.0,0.06558118498417007,281176866,NOVEL,13.126752497722798,0.239763684042996,257.73780992699034,13-14.5d,True,False
380.5139445741447,39.8,0.4275882093574679,4,22.359484346139748,4,0.2463768115942029,0.054745283802875425,281286325,NOVEL,17.01801073242722,0.0066087982330431,12.934877501170693,other,False,False
1142.5186019153812,39.8,0.6807172586995764,3,42.170955956666134,7,0.18085106382978725,0.04368212481471398,282345650,KNOWN_OTHER_TYPE,27.09254689624314,0.3511603424632393,1235.8258851333342,26-28.5d,False,False
50.33359898038066,25.16679949019033,0.9610445286546401,2,2.0810690247618253,3,0.5483870967741935,0.07549120992761117,285526589,KNOWN_OTHER_TYPE,24.1864149537958,0.0527109149115445,101.44743967593966,other,True,True
21.750131805726824,10.875065902863412,0.16204509867211025,11,12.342243093985182,1,0.13043478260869565,0.04097452934662237,287846593,NOVEL,1.7622511272952033,0.0846077443033173,3076.457002581413,other,False,False
24.749903716805647,12.374951858402824,0.99921453429904,1,2.0015721662846127,1,0.0,0.04454545454545455,289799635,NOVEL,12.365231758167017,0.1022610766294117,114.64952136613668,13-14.5d,True,True
27.895990376424834,13.947995188212417,0.5512979068268403,4,3.627802636711605,1,0.0,0.02117863720073665,290958279,NOVEL,7.689500551692346,0.0018865004910181,15.351218303213598,other,False,False
51.02077123042045,25.510385615210225,0.04344610391724581,39,46.034047237227774,3,0.04234527687296417,0.06358087487283826,29216744,KNOWN_OTHER_TYPE,1.108326864407436,0.0451810713037801,141.48774443607496,other,False,False
54.41697529023804,27.20848764511902,0.5000063427703265,2,3.999949258481071,4,1.0,0.06855575868372943,294657132,NOVEL,13.604416399747576,0.6008258913315335,1400.942462709709,13-14.5d,True,False
52.332832174745135,26.166416087372568,0.09733009762819461,19,20.548628314748957,4,0.08133971291866028,0.06558118498417007,294852916,NOVEL,2.546779832363934,0.0144593405933424,357.39540457810057,other,False,False
27.666317099919297,13.833158549959649,0.3721094155707291,4,5.374763218319715,1,0.2727272727272727,0.0425531914893617,29495157,NOVEL,5.147448543522719,0.0857856252931797,333.23644002774006,other,False,False
25.125038984057028,12.562519492028514,0.2465739291212246,8,8.111157603433119,1,0.12121212121212122,0.041666666666666664,298215657,NOVEL,3.0975897908114414,0.0036197085661879,16.34983997169683,other,False,False
28.395439807162347,14.197719903581174,0.3825902993307727,4,5.2275240733975785,1,0.13636363636363635,0.03313508920985556,303470667,NOVEL,5.431909907725591,0.0221977249554096,56.9755696599801,other,False,False
54.4168053334613,27.20840266673065,0.028289691937493547,65,70.69712899027063,4,0.09078014184397164,0.06855575868372943,304809821,KNOWN_OTHER_TYPE,0.7697173295530879,0.0372732709724049,127.16795161523324,other,False,False
54.41631614205312,27.20815807102656,0.029155146177240007,42,68.59852417962843,4,0.0625,0.0690127970749543,304889252,NOVEL,0.7932578257742319,0.0567387241544411,230.28107172110185,other,False,False
24.41704735076769,12.208523675383844,0.059426006698336725,32,33.65529859935849,1,0.03561643835616438,0.04477611940298507,307392778,NOVEL,0.7255038097101628,0.0071891283509764,16.17337203871759,other,False,False
27.062310723268865,13.531155361634433,0.06834415378764908,28,29.263658837801476,1,0.03866432337434095,0.037927844588344126,308474943,NOVEL,0.924775362960116,0.0074660606548438,40.80263896573244,other,False,False
1119.3695937185012,39.8,0.10350387833417694,13,271.727635876371,2,0.0,0.022743259085580305,309240602,NOVEL,4.119454357700242,0.0706914616810379,234.36121843983744,other,False,False
27.06243911519823,13.531219557599115,0.13422969488385453,14,14.899832721295747,1,0.0,0.037927844588344126,309672362,NOVEL,1.8162914726229744,0.0041137198726922,23.285909148859467,other,False,False
27.06244746276934,13.53122373138467,0.9607173782017837,2,2.08177768548695,1,0.0,0.037927844588344126,309674872,NOVEL,12.999681787077638,0.006264440771713,23.909567294830868,13-14.5d,True,True
27.854744222729778,13.927372111364889,0.9409284095520212,1,2.125560222963409,2,1.0,0.06525911708253358,31123635,NOVEL,13.10466008998574,0.015788331093626,397.42375819238623,13-14.5d,True,True
761.1595961155072,39.8,0.08381823948300232,11,228.16767669767907,5,0.14682539682539683,0.12347354138398914,313356920,KNOWN_OTHER_TYPE,3.335965931423492,0.0084937860584415,52.94050393866905,other,False,False
27.06299420366713,13.531497101833565,0.066702715253197,24,29.983786902949827,1,0.05102040816326531,0.03700277520814061,313569577,NOVEL,0.9025875981330648,0.0167141688738997,205.25053185791583,other,False,False
54.41673525742772,27.20836762871386,0.993547675053373,1,2.0129884556295305,4,1.0,0.06855575868372943,315702957,NOVEL,27.03281039950611,0.3326540766246921,186.5203925948285,26-28.5d,True,True
54.416868694455616,27.208434347227808,0.9925587067458715,1,2.0149941624682834,4,1.0,0.06855575868372943,316236490,NOVEL,27.005968408264383,0.3101566421508562,178.19433503559475,26-28.5d,True,True
25.057981686936273,12.528990843468137,0.6474074260119146,3,3.0892447624831427,1,0.0,0.0424695241840346,31717527,NOVEL,8.111361712496553,0.0008619339528429,19.57044119117101,other,False,False
27.062659068345056,13.531329534172528,0.20064006323160688,10,9.968098931923281,1,0.11428571428571428,0.03710575139146568,318928219,NOVEL,2.7149268133440856,0.0418325279225744,383.1461845522305,other,False,False
24.41659746030723,12.208298730153615,0.3755145763692847,4,5.326024942459704,1,0.0,0.04664179104477612,320474615,NOVEL,4.584394125843311,0.0154674647474779,21.722492785169344,other,False,False
53.29185655385504,26.64592827692752,0.5293913428298602,1,3.777923509872686,3,1.0,0.055530059660394676,323775614,NOVEL,14.106123751470804,0.5513851305924645,433.8340059915962,13-14.5d,True,False
54.41672484053106,27.20836242026553,0.057889604562759996,27,34.548517218350234,4,0.12037037037037036,0.06855575868372943,323961620,NOVEL,1.5750813413094311,0.0043311300626525,61.19139479354838,other,False,False
1979.4622088653282,39.8,0.8845955537280108,16,56.22369586747672,51,0.0,0.03368482352696491,326260517,NOVEL,35.206903038374826,0.0198235021591427,91.15218078202749,other,False,False
56.06237960201588,28.03118980100794,0.4974989867362671,3,4.020108690312238,3,0.0,0.0466728280961183,329832608,NOVEL,13.945488523013434,0.0396381064565958,386.2556267008232,13-14.5d,False,False
50.99955138900009,25.499775694500045,0.5249780474992154,2,3.809683108707491,3,0.6363636363636364,0.06550802139037433,330234939,NOVEL,13.386822455766584,0.2201183314628002,39.4340615348187,13-14.5d,True,False
1845.6967978011774,39.8,0.09377055593020164,29,494.5506714981882,4,0.09481668773704172,0.033254771211772824,330901906,NOVEL,3.732068126022025,0.0049831981812006,60.09782681820708,other,False,False
24.41617912153788,12.20808956076894,0.06674744637892895,28,29.963693122368895,1,0.050381679389312976,0.04664179104477612,33091659,KNOWN_OTHER_TYPE,0.8148588033465871,0.0022994902557711,75.17649863455252,other,False,False
56.06232935679827,28.031164678399136,0.9820933797203365,1,2.036466227447257,3,0.0,0.0466728280961183,331023501,NOVEL,27.52922125650633,0.7270180951111554,1227.5979529740605,26-28.5d,True,True
