TIC,n_points_raw,n_points,status,error,n_dropped_physical,frac_dropped_physical,bls_period,bls_t0,bls_duration,bls_depth,bls_depth_err,bls_snr,n_in_transit,depth_flagged_implausible,insufficient_intransit_points,depth_odd,depth_even,odd_even_z,possible_half_period_alias,n_odd,n_even,secondary_phase,secondary_depth,secondary_sigma,secondary_detected,secondary_flagged_implausible
374042630,35603,35369,OK,,234,0.006572479847203887,0.8277039772179968,2825.612049335417,0.5,0.03278066701625931,0.0004186649550724667,78.29809163412139,21718.0,False,False,0.0010488647006278162,0.0009278226813607127,0.06466547223013817,False,13048.0,12909.0,,,,False,False
374684661,1107,1107,OK,,0,0.0,0.6660762713823981,1569.8588994975466,0.5,0.002578842057472352,2.770230397201297e-05,93.09124829753148,823.0,False,False,6.279469076375666e-05,4.738606111365229e-05,0.013213467908472552,False,489.0,506.0,,,,False,False
378267838,63506,63498,OK,,8,0.00012597234906937927,0.7269795151859951,1683.4980910394247,0.17,0.035534975862500776,6.728583750930142e-05,528.1196932056989,14919.0,False,False,0.002808702049228229,0.058393712429833045,30.98113392664374,True,8960.0,8950.0,-0.495,0.003686640443059108,1.472977503636149,False,False
378373317,3453,3453,OK,,0,0.0,28.722781569783336,1790.4760338370002,0.35000000000000003,0.21485735481811297,0.019861685773703324,10.81767969074317,17.0,False,False,,,,False,0.0,21.0,-0.024999999999999994,0.25101203074314715,7.381023381735383,True,False
381979036,13367,13365,OK,,2,0.00014962220393506396,39.22551836118936,1346.4450869628197,0.02,0.9395434853682958,0.0002992692572695093,3139.4587400675855,2.0,True,True,,,,False,2.0,2.0,-0.185,0.0007944462416817899,2.559838550533134,False,False
383076940,1081,1081,OK,,0,0.0,0.7803467599286892,1597.304049269448,0.5,0.01937848124527444,0.0031977377371497574,6.060059591549581,677.0,False,False,-0.0012490057333627291,0.0015355703806707588,0.6849595231124939,False,428.0,398.0,,,,False,False
394083846,1062,1062,OK,,0,0.0,13.294117986920307,1326.4403159464732,0.058,0.013156399152136854,0.0017217247438188713,7.641406792444247,7.0,True,True,0.0071026279506494205,0.00913321164833858,0.5627833258938729,False,4.0,7.0,-0.315,0.007761488034692343,3.7489633829378897,False,False
401120789,1966,1966,OK,,0,0.0,20.53868587754941,1535.1708932389588,0.35000000000000003,0.3073057099402619,4.209837984320118e-05,7299.703957369545,16.0,False,False,,,,False,2.0,18.0,0.025000000000000022,0.036116034061386526,5.290915010885687,True,False
402815463,30052,30051,OK,,1,3.327565553041395e-05,35.235889711693744,1707.1242541677154,0.02,0.9987232602819024,0.001746321069084037,571.9012831963041,1.0,True,True,,,,False,0.0,2.0,-0.28500000000000003,0.0005590175329528435,3.812254584833062,False,False
406676397,1988,216,UNRELIABLE_DATA,,1770,0.8903420523138833,,,,,,,,,,,,,,,,,,,,
40730002,58148,58148,OK,,0,0.0,37.070291792318656,1705.457001743976,0.02,0.10867604180931671,0.0016985776756640555,63.980613525271984,20.0,False,False,0.0027817906980742713,0.0007918363811123541,0.49114334621079236,False,14.0,16.0,0.135,0.00038107984479662793,2.2463258188922577,False,False
411504404,2165,2159,OK,,6,0.002771362586605081,13.639049544106127,1583.014730833909,0.084,0.21527723532632667,0.004191511509185378,51.36028729840369,5.0,True,True,,,,False,0.0,5.0,0.015000000000000013,0.019697089224173348,2.660690395132169,False,False
411731832,1081,1081,OK,,0,0.0,13.416853939154716,1607.5777271993159,0.17,0.07018668349495899,0.00022224252155019766,315.8112273267472,18.0,False,False,0.07517936021359528,0.07636223898451922,0.21140649663367886,False,9.0,9.0,0.495,0.013193842654186883,2.5940440076502873,False,False
420981052,2027,2006,OK,,21,0.010360138135175136,4.000354295189319,1438.4379346858855,0.02,0.4605047458114674,0.0010466127898598647,439.9953356896453,8.0,True,True,0.000507911999167443,0.003308742003918397,0.07643167588901993,False,6.0,8.0,0.14500000000000002,0.007366970227951852,3.533525075522529,False,False
42256607,46625,46625,OK,,0,0.0,1.162437046082001,1683.7477806257234,0.17,0.06903162711607816,0.0004640057172040378,148.773225321538,6754.0,False,False,0.0770325371789986,0.07746810746833888,0.3495983945695245,False,3942.0,4168.0,-0.485,0.12431340456879614,3.051525984711678,False,False
436415423,31445,31443,OK,,2,6.360311655271108e-05,38.31093182774005,1720.8502492804218,0.12,0.1750449373381679,0.001486763419968026,117.73556908060893,57.0,False,False,0.003706779175466801,0.35985053660478683,27.650588087851542,True,63.0,7.0,-0.215,0.0005589473612458429,2.0307995725151646,False,False
43797047,7629,7629,OK,,0,0.0,3.0882217141649617,3453.661381793807,0.084,0.0009542913139641566,0.00016287872787224087,5.858906969808147,181.0,False,False,0.0005078922321595236,0.0006602219430851264,0.42226617289796425,False,44.0,174.0,-0.16499999999999998,0.000906709216282664,2.064169849930755,False,False
