target_TIC,nbr_TIC,nbr_Tmag,sep_arcsec,nbr_disposition
125900581,776172826,18.2204,35.26068907343934,
125900581,776172817,19.1237,35.319212685577156,
125900581,776172871,19.9486,36.590510718807,
125900581,776172609,20.3653,37.24565552084182,
125900581,776172887,18.6457,37.562982148127496,
125900581,776172594,19.0958,38.3313126514042,
125900581,776172586,20.668,38.88605468778737,
125900581,125900564,15.6751,39.31145819105328,
125900581,776172581,18.8749,39.41624471311244,
125900581,776172866,19.4143,40.48441999065629,
125900581,776172816,19.2848,41.5755461120673,
125900581,125900609,18.8297,41.70154063789607,SPLIT
125900581,506525543,18.963,41.74170472608084,
125900581,776172580,18.9911,42.6481572868577,
125900581,776172537,19.3737,42.89286515685147,
125900581,776172604,20.8362,43.16861598382237,
125900581,776172590,20.6601,44.632397856073865,
125900581,776172865,19.0897,44.63785089230969,
125900581,776172888,18.8352,44.753669174874474,
125900581,776172868,19.8063,45.16711625570018,
125900581,125900539,18.0794,45.70105305462452,
125900581,776172872,20.3463,45.80732223720905,
125900581,776172607,18.6084,46.84780574833081,
125900581,776172827,18.3252,47.18624343689771,
125900581,776172825,20.7728,47.30610515883251,
125900581,776172874,20.8059,47.382472087248885,
125900581,125900555,17.3621,48.70004948840567,
125900581,776172534,18.3404,48.97353602767198,
125900581,125900545,16.5311,49.794275640695815,
125900581,776172877,17.8406,50.06167554233927,
125900581,776172592,19.3647,50.31045947823565,
125900581,125900589,16.8633,51.12623055276183,
125900581,776172533,18.4103,51.578514011169645,
125900581,776172510,20.2158,52.16954913520869,
125900581,125900600,15.1593,52.33991393276994,
125900581,776172535,18.5161,53.02729404143887,
125900581,125952020,17.8257,53.031509415290394,
125900581,776172538,19.5485,53.237571048103675,
125900581,776172882,19.6322,53.642520517639355,
125900581,776172597,19.0404,53.6469363169129,
125900581,776172863,18.7465,54.08035853714365,
125900581,776172593,19.5151,54.27531274998919,
125900581,776172885,20.7134,54.379022585708,
125900581,125900611,17.2206,54.672560015315824,
125900581,776172536,19.3511,54.998021604571676,
125900581,776172821,19.9715,55.14655017943411,
125900581,125900531,16.2375,55.16364981246824,
125900581,776172547,19.2641,56.23868763529077,
125900581,776172606,17.5517,57.2888460017012,
125900581,125900626,14.4249,58.225999870912986,
125900581,125900525,16.1284,58.39971788812257,
125900581,776172870,20.6946,59.18459858408181,
125900581,776172577,20.6713,59.85876574004373,
125900581,776172555,17.9647,60.20006358671611,
125900581,776172823,20.686,60.20196865693975,
125900581,776172545,16.7553,60.358181709444025,
125900581,776172886,17.9889,60.79235515081572,
125900581,776172502,19.2191,61.45672597298289,
125900581,776172881,19.3416,61.71006594059999,
125900581,776172600,19.4624,61.8380277164937,
125900581,125952053,13.0584,62.0570119056894,
125900581,776172551,19.325,62.18632153022395,
125900581,776172819,18.8625,62.22448678551038,
125900581,776172603,20.5835,62.606146032519725,
1326118009,346948124,14.8663,0.3831758942961808,SPLIT
1326118009,1326117937,17.001,1.584198850667961,
1326118009,1326118010,15.8657,2.924229182093271,
1326118009,1326117925,18.5874,3.424810284176831,
1326118009,1326117938,18.0573,3.4394673217254077,
1326118009,1326117923,18.8564,3.861401052698294,
1326118009,1326117940,18.6968,4.535403164492072,
1326118009,1326117936,18.2055,4.819177876069212,
1326118009,1326118001,20.3524,5.263865901579528,
1326118009,1326117994,20.5234,5.7586647979398435,
1326118009,1326118006,20.6533,6.298647236661204,
1326118009,1326117935,18.016,6.831227611286747,
1326118009,1326117933,19.3469,8.298019738219589,
1326118009,346401705,16.5581,8.311804531571052,
1326118009,1326117916,18.2847,8.442777725095835,
1326118009,1326117921,18.4875,8.584736971574296,
1326118009,1326117934,18.4176,8.855270106017791,
1326118009,1326117915,17.4688,8.960177501939963,
1326118009,1326117905,17.0552,9.049481433631579,
1326118009,1326117942,19.1173,9.073085376624585,
1326118009,1326118003,20.7516,9.075430689097548,
1326118009,1326117944,20.2449,9.181006912939862,
1326118009,1326117926,20.6566,9.27195844115455,
1326118009,346401681,16.4723,10.062605084869581,
1326118009,1326117980,20.1199,10.492597950284118,
1326118009,1326117928,18.5412,10.63185539065421,
1326118009,1326117912,19.6747,10.952872257185987,
1326118009,1326117930,18.9834,11.405060001864282,
1326118009,1326117927,20.4593,11.533317603338508,
1326118009,1326118008,18.1898,11.533855892421663,
1326118009,1326117931,19.3908,11.787060456317302,
1326118009,1326117945,19.6075,11.788279152727155,
1326118009,1326117932,19.7967,11.84093169907097,
1326118009,1326117913,19.0391,12.08692689121545,
1326118009,1326117979,19.9052,12.22854406004209,
1326118009,1326118002,20.6291,12.291069578704716,
1326118009,1326117946,20.1351,12.52778200005612,
1326118009,1326117918,19.3466,12.53120179526327,
1326118009,1326117929,18.8489,12.779113700228718,
1326118009,1326117900,18.2613,13.461625172867468,
1326118009,346401662,15.4254,13.555576253949017,
1326118009,1326117919,17.7537,13.765755092587197,
1326118009,346401721,17.5071,13.82529192794443,
1326118009,1326117996,20.1352,14.031188067352863,
1326118009,1326117897,19.5607,14.067437633097155,
1326118009,346401722,16.4998,14.44015901326617,
1326118009,1326117920,18.1371,14.474582718352226,
1326118009,1326117995,20.2159,14.542556336481523,
1326118009,1326117910,19.2545,14.710514268751664,
1326118009,1326117993,20.1269,14.850898598647786,
1326118009,1326117947,18.0297,15.00025627172122,
1326118009,1326118011,20.1044,15.31689344924542,
1326118009,346401665,17.8489,15.972237597383408,
1326118009,1326117990,20.4245,16.46012602939555,
1326118009,1326117909,19.1809,16.48668171561131,
1326118009,346401647,14.9283,16.487013994146665,
1326118009,1326117924,19.333,16.49548806200757,
1326118009,1326117939,19.4708,16.505440950234526,
1326118009,1326117989,20.2727,16.825732202504533,
1326118009,1326117943,18.932,16.93450759771538,
1326118009,1326117917,19.5634,17.225594139732856,
1326118009,1326117992,20.6487,17.251855273235766,
1326118009,1326117991,20.2001,17.377636919328893,
1326118009,1326118007,19.056,17.515017343203105,
1326118009,1326117941,19.2514,17.518198887034508,
1326118009,346401645,17.3917,17.561028968334607,
1326118009,1326117911,18.8352,17.689601578141556,
1326118009,1326117950,20.1846,18.217677545971195,
1326118009,1326118012,20.5515,18.24346359197167,
1326118009,1326117951,19.4381,18.394882100928655,
1326118009,1326117976,19.7797,18.439163206170292,
