TIC,tess_eb_period,tess_eb_morph
303427297,4.2973723,0.193
131239334,0.5698003,0.729
81702112,7.7359444,0.316
309402205,0.7444099,0.709
452172479,0.738522,0.685
452406965,0.255532,0.716
142105299,80.0528937,0.03
399421408,2.0455544,0.429
41170667,0.9740942,0.917
272058503,3.7355485,0.499
380117288,1.4177203,0.646
307216760,0.7340051,0.847
308991822,8.2243833,0.161
349484636,0.3719685,0.756
167795859,6.2128172,0.196
32050581,3.1131466,0.224
55652785,1.6941403,0.566
306580215,3.499005,0.256
237915523,0.3322736,0.797
323292655,1.6698839,0.595
394657952,0.8723736,0.594
358022169,0.1516228,0.553
150101799,1.577227,0.341
149160359,1.1207351,0.694
425594181,8.6904726,0.253
453095485,0.3082996,0.792
312907176,0.7579494,0.622
360205899,0.4285519,0.659
148158540,1.8495522,0.544
405533713,0.2799592,0.763
308828048,1.0692161,0.749
438682877,0.921935,0.671
159864583,3.6404884,0.492
460820330,5.0739877,0.199
309528896,1.8956622,0.291
159493588,0.3534062,0.769
243475355,1.0957854,0.558
323727556,4.0073128,0.558
179410793,7.8327444,0.328
361388647,0.9815337,0.533
453784977,0.4097216,0.776
383858742,0.3211244,0.943
373844472,1.8391274,0.352
150101476,3.2785754,0.411
260192157,4.3718388,0.316
434664688,16.8578433,0.077
461271719,3.8127029,0.512
141978095,12.8339767,0.222
166319733,0.2822073,0.719
338465029,1.1981517,0.531
365717153,11.9094253,0.139
242323067,2.0454899,0.587
141943694,1.8345625,0.38
38707340,0.5638978,0.857
243643549,1.7922626,0.615
177118177,2.5041961,0.648
242149417,1.8200771,0.832
319936861,2.090676,0.578
160159932,0.7991886,0.798
75490265,3.7384026,0.246
307085577,4.2812441,0.596
243391171,1.5169916,0.554
243662768,1.628796,0.355
278895603,0.7409491,0.757
270507305,1.2282336,0.327
291651765,0.8274292,0.562
306410072,2.3620345,0.551
176871438,15.1382159,0.239
394452884,0.3026648,0.719
407661994,25.1117023,0.037
219201178,2.416991,0.484
451112995,9.3056453,0.282
418295363,1.0468808,0.537
307783750,0.5644946,0.796
280909668,1.9379919,0.536
323255579,0.8611959,0.524
120016,0.3263708,0.849
404927661,18.5362828,0.108
393491149,0.5543533,0.595
370085638,10.7713548,0.248
48227278,2.8963311,0.37
332607409,13.0509244,0.342
369506001,4.1529469,0.272
404804908,4.4140873,0.203
60735803,21.1444727,0.052
418532689,0.3803666,0.62
363847487,2.4012395,0.304
394099697,0.7652936,0.49
83391903,2.4772474,0.284
350298314,47.7191149,0.002
394728064,42.6178946,0.157
438790187,2.0919391,0.361
337370789,0.8380236,0.561
306635088,17.0043351,0.138
83833793,2.1734806,0.583
210636260,0.8688272,0.803
31511621,2.629486,0.633
260659986,3.5700897,0.406
61120063,1.3195968,0.966
278289141,5.8672921,0.375
332600127,0.560476,0.676
420581415,1.3157195,0.408
167722708,35.297151,0.112
412942849,0.1903048,0.624
140760434,30.9767086,0.128
128886984,1.6339861,0.782
107548305,0.048979,0.949
323968843,2.6995287,0.517
370678161,7.5556123,0.366
453785266,5.4400952,0.343
47831368,0.3659521,0.835
220029715,3.1874984,0.275
401626459,1.5129236,0.411
454855280,7.9612445,0.16
