TIC,Tmag,status,author_used,n_sectors,n_points,authors_tried,error
469314911,12.02,OK,QLP,4,36352,QLP,
224631871,10.83,OK,QLP,5,20382,QLP,
153022654,11.42,OK,QLP,4,30760,QLP,
387142213,12.41,OK,GSFC-ELEANOR-LITE,1,904,GSFC-ELEANOR-LITE,
309656210,12.94,OK,GSFC-ELEANOR-LITE,12,12259,GSFC-ELEANOR-LITE,
330871525,12.55,OK,QLP,3,25360,QLP,
237093434,10.68,OK,TESS-SPOC,2,5640,TESS-SPOC,
376802340,11.61,OK,GSFC-ELEANOR-LITE,1,1107,GSFC-ELEANOR-LITE,
208339043,12.26,OK,GSFC-ELEANOR-LITE,1,1086,GSFC-ELEANOR-LITE,
174043944,12.98,OK,QLP,4,23866,QLP,
358867136,12.73,OK,GSFC-ELEANOR-LITE,3,3292,GSFC-ELEANOR-LITE,
60917822,12.04,OK,TESS-SPOC,2,4543,TESS-SPOC,
335494207,6.69,OK,TESS-SPOC,2,14787,TESS-SPOC,
159799291,12.81,OK,GSFC-ELEANOR-LITE,1,1029,GSFC-ELEANOR-LITE,
42207915,11.62,OK,QLP,8,49288,QLP,
282344827,12.05,OK,QLP,5,32898,QLP,
230269652,12.69,OK,QLP,4,19347,QLP,
399770903,11.72,OK,GSFC-ELEANOR-LITE,2,2188,GSFC-ELEANOR-LITE,
313949626,13.78,OK,GSFC-ELEANOR-LITE,1,1134,GSFC-ELEANOR-LITE,
230232290,13.39,OK,QLP,3,15131,QLP,
84708426,13.67,OK,TASOC,2,2292,TASOC,
374156377,13.57,OK,GSFC-ELEANOR-LITE,3,3292,GSFC-ELEANOR-LITE,
34002384,13.32,OK,QLP,4,31223,QLP,
72393521,13.54,NO_DATA,,0,0,,
154831865,13.2,OK,GSFC-ELEANOR-LITE,2,1934,GSFC-ELEANOR-LITE,
239757081,13.63,NO_DATA,,0,0,,
296469435,13.6,NO_DATA,,0,0,,
93622174,13.54,OK,GSFC-ELEANOR-LITE,1,1084,GSFC-ELEANOR-LITE,
150250304,13.27,OK,GSFC-ELEANOR-LITE,12,12295,GSFC-ELEANOR-LITE,
233458959,13.63,PROCESSING_ERROR,,0,0,TASOC,"cannot reshape array of size 0 into shape (0,newaxis)"
43676310,13.54,OK,TASOC,2,2292,TASOC,
186141550,13.69,NO_DATA,,0,0,,
394115969,13.15,OK,QLP,4,29434,QLP,
313371518,13.66,OK,GSFC-ELEANOR-LITE,1,1081,GSFC-ELEANOR-LITE,
70377183,13.09,OK,QLP,5,30409,QLP,
64266117,13.7,PROCESSING_ERROR,,0,0,CDIPS,The unit 'day' is unrecognized.  It can not be converted to other units.
87926466,13.49,OK,QLP,7,46184,QLP,
237115895,13.38,OK,QLP,42,253891,QLP,
376047919,13.78,NO_DATA,,0,0,,
224290741,12.77,OK,QLP,6,20993,QLP,
453947125,12.76,OK,GSFC-ELEANOR-LITE,1,1081,GSFC-ELEANOR-LITE,
326257760,11.34,OK,TESS-SPOC,10,92059,TESS-SPOC,
236345107,12.38,OK,TESS-SPOC,5,10398,TESS-SPOC,
230275195,12.87,OK,QLP,4,19667,QLP,
73559223,11.78,OK,TESS-SPOC,1,3916,TESS-SPOC,
158491393,10.13,OK,TESS-SPOC,4,38374,TESS-SPOC,
79414156,12.03,OK,QLP,4,20047,QLP,
349452665,11.25,OK,TESS-SPOC,1,9649,TESS-SPOC,
86966508,12.22,OK,GSFC-ELEANOR-LITE,1,1177,GSFC-ELEANOR-LITE,
250624888,10.87,OK,SPOC,1,11615,SPOC,
220421821,10.77,OK,TESS-SPOC,34,125781,TESS-SPOC,
183504393,12.38,OK,QLP,2,13659,QLP,
341191997,12.92,OK,GSFC-ELEANOR-LITE,3,3038,GSFC-ELEANOR-LITE,
399552998,10.51,OK,TESS-SPOC,1,7010,TESS-SPOC,
96964370,11.89,OK,QLP,2,14187,QLP,
427332291,11.1,OK,QLP,1,3044,QLP,
466068018,12.62,OK,GSFC-ELEANOR-LITE,2,2188,GSFC-ELEANOR-LITE,
111381389,10.98,OK,QLP,4,37184,QLP,
444461903,11.72,OK,QLP,6,32262,QLP,
430253781,12.94,OK,GSFC-ELEANOR-LITE,1,1086,GSFC-ELEANOR-LITE,
59632062,12.19,OK,QLP,8,48848,QLP,
76878389,12.42,OK,QLP,5,30273,QLP,
402630334,9.91,OK,TESS-SPOC,1,9434,TESS-SPOC,
90461835,12.98,OK,QLP,8,46608,QLP,
366745208,12.21,OK,QLP,7,49588,QLP,
66719638,11.46,OK,QLP,6,42040,QLP,
118338397,13.03,OK,QLP,5,30263,QLP,
278221174,11.66,OK,GSFC-ELEANOR-LITE,1,1113,GSFC-ELEANOR-LITE,
342314040,12.96,OK,GSFC-ELEANOR-LITE,3,3073,GSFC-ELEANOR-LITE,
264252839,11.66,OK,SPOC,16,249505,SPOC,
273150032,12.52,OK,GSFC-ELEANOR-LITE,1,1081,GSFC-ELEANOR-LITE,
142828597,10.39,OK,SPOC,5,86405,SPOC,
437162445,13.02,OK,GSFC-ELEANOR-LITE,2,2211,GSFC-ELEANOR-LITE,
313697192,12.84,OK,QLP,6,32752,QLP,
370591535,12.49,OK,GSFC-ELEANOR-LITE,2,2167,GSFC-ELEANOR-LITE,
43332820,10.98,OK,TESS-SPOC,4,6124,TESS-SPOC,
403648124,12.85,OK,QLP,2,12974,QLP,
273851609,12.19,OK,TESS-SPOC,1,1070,TESS-SPOC,
193601147,11.35,OK,TESS-SPOC,11,51679,TESS-SPOC,
229494833,9.98,OK,TESS-SPOC,14,125728,TESS-SPOC,
309234923,11.22,OK,TESS-SPOC,1,991,TESS-SPOC,
31702462,11.97,OK,TESS-SPOC,5,22421,TESS-SPOC,
367167773,11.87,OK,QLP,6,31445,QLP,
111123764,11.13,OK,TESS-SPOC,1,1807,TESS-SPOC,
318894871,12.63,OK,GSFC-ELEANOR-LITE,1,1072,GSFC-ELEANOR-LITE,
433784316,12.97,OK,QLP,9,61565,QLP,
333732697,11.16,OK,TESS-SPOC,13,118283,TESS-SPOC,
181640057,12.8,OK,QLP,1,10247,QLP,
229679695,11.47,OK,GSFC-ELEANOR-LITE,1,1073,GSFC-ELEANOR-LITE,
235552030,10.51,OK,TESS-SPOC,3,19333,TESS-SPOC,
446489907,9.66,OK,TESS-SPOC,1,7266,TESS-SPOC,
258269775,8.24,OK,SPOC,13,586220,SPOC,
355979420,11.54,OK,TESS-SPOC,3,23113,TESS-SPOC,
358416094,11.09,OK,QLP,5,33143,QLP,
203230336,12.9,OK,TESS-SPOC,1,1604,TESS-SPOC,
183652582,13.03,OK,QLP,2,13461,QLP,
35852034,12.53,OK,GSFC-ELEANOR-LITE,1,1101,GSFC-ELEANOR-LITE,
311051534,12.95,OK,GSFC-ELEANOR-LITE,1,1081,GSFC-ELEANOR-LITE,
333569585,12.46,OK,GSFC-ELEANOR-LITE,2,2160,GSFC-ELEANOR-LITE,
40688128,12.81,OK,QLP,5,23647,QLP,
138404120,11.34,OK,QLP,8,49655,QLP,
44533622,12.15,OK,QLP,4,26873,QLP,
467213980,11.19,OK,TESS-SPOC,5,39364,TESS-SPOC,
365996460,11.94,OK,GSFC-ELEANOR-LITE,1,1177,GSFC-ELEANOR-LITE,
20815767,11.56,OK,QLP,7,45663,QLP,
