TIC,n_points_raw,n_points,status,error,n_dropped_physical,frac_dropped_physical,n_segments,max_segment_median_offset,max_segment_scatter_ratio,min_segment_scatter_ratio,inhomogeneous_photometry,bls_period,bls_t0,bls_duration,bls_depth,bls_depth_err,bls_snr,depth_too_small,non_finite_bls_result,n_in_transit,below_noise_floor,frac_above_1_2,noisy_photometry,n_eclipses_observed,too_few_eclipses,frac_intransit_near_gap,frac_all_near_gap,gap_edge_suspect,robust_depth,robust_sigma,depth_ratio,robust_depth_mismatch,depth_flagged_implausible,insufficient_intransit_points,depth_odd,depth_even,odd_even_z,possible_half_period_alias,n_odd,n_even,secondary_phase,secondary_depth,secondary_sigma,secondary_detected,secondary_flagged_implausible
276077884,1120,1100,OK,,20,0.017857142857142856,1,nan,nan,nan,False,0.9582371349169735,1656.4664624522231,0.02,0.9558561821165079,9.288781470840387e-05,10290.43675015027,False,False,13,False,0.01090909090909091,False,0,True,0.07692307692307693,0.034545454545454546,False,0.0006102642619092435,0.7337509172273463,0.0006384477846426266,True,True,False,0.000289032098929054,5.609927604521836e-05,0.010891033200156434,False,24,19,0.22499999999999998,0.0018150498111899616,3.238087638773323,False,False
277909276,1113,1112,OK,,1,0.0008984725965858042,1,nan,nan,nan,False,12.899831218509021,1656.6249083548266,0.058,0.24766958354318017,0.0007177561232518272,345.06091347727096,False,False,3,False,0.0,False,1,True,0.0,0.0341726618705036,False,0.2598393269798943,186.15869388235993,1.04913701255767,False,True,True,nan,nan,nan,False,2,3,0.0050000000000000044,0.008981459179559392,5.183476237096004,True,False
278214660,65252,65252,OK,,0,0.0,9,0.04865147747430185,15.118913315800636,0.9167287087174539,True,9.394056385326058,1715.301107616682,0.35000000000000003,0.12499384887386676,0.00014293004697824545,874.5106541026419,False,False,2479,False,0.0013639428676515662,False,21,False,0.0,0.03891068472996996,False,0.14932956341115855,892.6750546704482,1.1946952970609725,False,True,False,0.1313206327503762,0.14004007373557004,12.59324470807404,True,1454,1511,0.365,0.06813730805715579,8.974281920990697,True,False
278221174,1113,1112,OK,,1,0.0008984725965858042,1,nan,nan,nan,False,12.920705072987827,1656.6049522762676,0.058,0.5223865306623827,0.0002454283470988523,2128.468601273588,False,False,3,False,0.0,False,1,True,0.0,0.0341726618705036,False,0.5533907681305722,49.70290250502741,1.0593511425895232,False,True,True,nan,nan,nan,False,2,3,-0.07500000000000001,0.03455954985649412,5.163271330073684,True,False
280490452,2211,2211,OK,,0,0.0,3,0.02009724674103246,1.0453686965474838,0.980959660408387,False,0.8408607961028061,1543.9342178503932,0.5,0.002890841310773625,7.02389685850342e-05,41.15722894298843,False,False,1295,False,0.009045680687471733,False,59,False,0.05328185328185328,0.06558118498417007,False,-7.68395275539957e-05,-1.1812125976846033,-0.02658033399053388,True,True,False,-0.00018530883257772413,-0.00018787204411319092,0.0005067197069959175,False,790,774,nan,nan,nan,False,False
281172097,2211,2211,OK,,0,0.0,3,0.032817442064997454,1.0210704606889625,0.7713220501992439,False,13.081542774086298,1543.4972105664363,0.17,0.4326663837201886,0.0032299516538176636,133.95444579140855,False,False,6,False,0.002261420171867933,False,2,True,1.0,0.06558118498417007,True,0.3648474406264939,83.70099618696563,0.8432534958908335,False,True,True,0.35764727395043083,0.37204760730255704,0.505863568095294,False,3,3,-0.065,0.014589832351880383,1.1752471954662396,False,False
281310348,904,904,OK,,0,0.0,2,0.0011338357312042407,1.0345234306029194,0.9654765693970807,False,1.7702142184960212,1469.350889057617,0.12,0.0727297763991251,0.00040469018847499617,179.71717247011716,False,False,61,False,0.0,False,11,False,0.08196721311475409,0.04092920353982301,False,0.07096033942080338,114.91423049139443,0.9756710790830506,False,False,False,0.06619127891464605,0.0664721259473029,0.15838919881275618,False,37,42,0.44500000000000006,0.004169483116680084,2.7259799278707617,False,False
282344827,32898,32882,OK,,16,0.00048635175390601253,4,0.0021511493197663802,1.4528087700166585,0.9281130973350629,False,34.22602637881895,2424.3556292640183,0.058,0.20097521339583332,0.0008176001310566616,245.8111315810262,False,False,34,False,0.0002128824280761511,False,2,True,0.0,0.04391460373456602,False,0.35001133151621033,345.3268308594367,1.74156467159381,False,True,False,0.3723192743827063,-0.001322024914749198,69.6763708443673,True,30,10,-0.135,0.0018727003344982673,3.4475467534530773,False,False
282344989,33002,32976,OK,,26,0.0007878310405429974,4,0.0038529158252727604,1.5891332715125297,0.9197592841328288,False,26.613732175284113,2397.1106289513114,0.084,0.3542417296442593,0.0007518709558744243,471.1469792476249,False,False,68,False,0.002062105773896167,False,3,False,0.0,0.04378942261038331,False,0.3763723073716029,253.07934518449392,1.0624730964067044,False,False,False,0.36868895075116137,0.34323039989456006,2.344857414234211,False,22,57,0.015000000000000013,0.00439954633058437,4.1300557632067205,False,False
28515500,1134,1104,OK,,30,0.026455026455026454,1,nan,nan,nan,False,13.314090588296581,1656.2113941686498,0.058,0.914015454686808,0.009170888425306266,99.66487566947845,False,False,3,False,0.0009057971014492754,False,1,True,0.0,0.035326086956521736,False,0.9215267136259618,72.09591128957904,1.0082178686373828,False,True,True,nan,nan,nan,False,2,4,-0.024999999999999994,0.4194449081285775,9.349002374932068,True,False
