TIC,asassn_queried_ok,asassn_match,asassn_name,asassn_type,asassn_period,asassn_error
180187028,True,False,,,,
188855091,True,False,,,,
192855779,True,False,,,,
1966164973,True,False,,,,
217028234,True,False,,,,
218193457,True,False,,,,
220423668,True,False,,,,
233409941,True,False,,,,
233452636,True,False,,,,
234065903,True,False,,,,
237514076,True,False,,,,
239727281,True,False,,,,
244978644,True,False,,,,
247637169,True,False,,,,
277917453,True,False,,,,
295347171,True,False,,,,
297357238,True,False,,,,
299138242,True,False,,,,
304803946,True,False,,,,
307380812,True,False,,,,
308473058,True,False,,,,
308626244,True,False,,,,
309657355,True,False,,,,
311054491,True,False,,,,
316215136,True,False,,,,
323965420,True,False,,,,
333569592,True,False,,,,
338685900,True,False,,,,
33986702,True,False,,,,
345086748,True,False,,,,
348337167,True,False,,,,
349453472,True,True,J040641.46+322225.1,L,--,
356500024,True,False,,,,
365998904,True,False,,,,
369395377,True,False,,,,
371605670,True,False,,,,
376808346,True,False,,,,
378070153,True,False,,,,
383287412,True,False,,,,
383801019,True,False,,,,
386205667,True,False,,,,
3933500,True,False,,,,
398475596,True,False,,,,
403676355,True,False,,,,
421567487,True,False,,,,
425071197,True,False,,,,
435411138,True,False,,,,
43796360,True,False,,,,
449836001,True,False,,,,
451039310,True,False,,,,
453947226,True,False,,,,
457855575,True,False,,,,
458340700,True,False,,,,
462781859,True,False,,,,
464366281,True,False,,,,
465390333,True,False,,,,
467851810,True,False,,,,
468888299,True,False,,,,
46896701,True,False,,,,
516402299,True,False,,,,
54280159,True,False,,,,
57135731,True,False,,,,
73928199,True,False,,,,
80996206,True,False,,,,
83759084,True,False,,,,
87168144,True,False,,,,
87926353,True,False,,,,
90463599,True,False,,,,
96982201,True,False,,,,
152404913,True,False,,,,
153727748,True,False,,,,
173381003,True,False,,,,
178331790,True,False,,,,
186430453,True,False,,,,
221066239,True,False,,,,
233662516,True,False,,,,
246552692,True,False,,,,
259073145,True,False,,,,
300359095,True,False,,,,
308498714,True,False,,,,
317639628,True,False,,,,
378112774,True,False,,,,
378232913,True,False,,,,
405181219,True,False,,,,
418883686,True,False,,,,
446737326,True,False,,,,
45663447,True,False,,,,
467847068,True,False,,,,
468353260,True,False,,,,
469136093,True,False,,,,
469444192,True,False,,,,
65504442,True,False,,,,
117150608,True,False,,,,
138384167,True,False,,,,
146159655,True,False,,,,
146617448,True,False,,,,
154168756,True,False,,,,
154818955,True,False,,,,
162918014,True,False,,,,
170084761,True,False,,,,
172779889,True,False,,,,
176245581,True,False,,,,
193558729,True,False,,,,
207760490,True,False,,,,
217024538,True,False,,,,
222608562,True,False,,,,
230267345,True,False,,,,
250598318,True,False,,,,
251896439,True,False,,,,
256521802,True,False,,,,
261575656,True,False,,,,
262755917,True,False,,,,
29445056,True,False,,,,
294659582,True,False,,,,
295373509,True,False,,,,
296483158,True,False,,,,
298242897,True,False,,,,
308629571,True,False,,,,
311025334,True,False,,,,
313372676,True,False,,,,
318850005,True,False,,,,
322079215,True,False,,,,
329787152,True,False,,,,
331043325,True,False,,,,
338106162,True,False,,,,
33973845,True,False,,,,
348884775,True,False,,,,
358411347,True,False,,,,
369341817,True,False,,,,
374158907,True,False,,,,
379012394,True,False,,,,
382059023,True,False,,,,
386539709,True,False,,,,
394600714,True,False,,,,
399788046,True,False,,,,
411457490,True,False,,,,
411553811,True,False,,,,
421580853,True,False,,,,
427344176,True,False,,,,
435411143,True,False,,,,
437171483,True,False,,,,
43795649,True,False,,,,
442691390,True,False,,,,
444478675,True,False,,,,
446502638,True,False,,,,
450458029,True,False,,,,
451543198,True,False,,,,
457550536,True,False,,,,
457631456,True,False,,,,
457804419,True,False,,,,
458342304,True,False,,,,
459439463,True,False,,,,
465392301,True,False,,,,
466504538,True,False,,,,
467216111,True,False,,,,
512887979,True,False,,,,
51894332,True,False,,,,
63206894,True,False,,,,
64256419,True,False,,,,
64728461,True,False,,,,
70366294,True,False,,,,
70762350,True,False,,,,
72388084,True,False,,,,
73994520,True,False,,,,
810681765,True,False,,,,
90456042,True,False,,,,
