TIC,trustworthy,bls_period,bls_duration,duty_cycle,duration_at_max,bls_depth,bls_snr,robust_depth,robust_sigma,depth_ratio,n_in_box,verdict
305125669,False,13.096331481390113,0.17,0.01298073435614928,False,0.0666172108783834,46.08192796415116,0.0675785556492422,45.167476818688456,1.0144308769187864,7,(no F4 verdict)
307031606,False,9.583693586425822,0.028,0.0029216293016357197,False,0.2223921971180734,79.13987366279305,,,,2,(no F4 verdict)
307392778,True,0.7255038097101628,0.5,0.6891762569789246,True,0.0071891283509764,16.17337203871759,0.0006908899270374746,2.6131018144990485,0.09610204371210601,730,NOVEL
308474943,True,0.924775362960116,0.5,0.540671843159347,True,0.0074660606548438,40.80263896573244,0.00282912191055662,11.58219225404907,0.37893101078962627,569,NOVEL
308626100,False,13.177119891004605,0.058,0.004401568816232283,False,0.0517924784132097,55.66168865153639,0.054109443607642804,32.50714589045389,1.0447355536058334,3,(no F4 verdict)
309240602,True,4.119454357700242,0.17,0.04126760129827133,False,0.0706914616810379,234.36121843983744,0.11099650876056344,296.37949334172424,1.5701543881124311,561,NOVEL
309672362,True,1.8162914726229744,0.12,0.06606869096109531,False,0.0041137198726922,23.285909148859467,0.004422906179683217,15.506787598752966,1.0751597864121634,76,NOVEL
309674872,False,12.999681787077638,0.5,0.03846247994293415,True,0.006264440771713,23.909567294830868,0.0066504213949916124,12.882510281933284,1.061614537888442,29,(no F4 verdict)
311062286,False,8.18999306664917,0.17,0.020757038329161044,False,0.2806851497905542,586.1230435058791,0.3393676860054725,542.2778253236908,1.2090689025005665,347,(no F4 verdict)
31123635,False,13.10466008998574,0.35,0.026708056340008498,False,0.015788331093626,397.42375819238623,0.015091397485470726,32.728333977655744,0.9558576771653442,18,(no F4 verdict)
313356920,True,3.335965931423492,0.5,0.14988162657483875,True,0.0084937860584415,52.94050393866905,0.007393075513091207,24.327446649300686,0.870409904631827,504,KNOWN_OTHER_TYPE
313569577,True,0.9025875981330648,0.084,0.09306575912825275,False,0.0167141688738997,205.25053185791583,0.018102186243385,36.64178955811549,1.083044354760157,98,NOVEL
313705269,False,6.59526893567919,0.058,0.008794182703639375,False,0.00107739873224,5.3785169652356055,0.0009976273303056171,4.602038163686666,0.9259592576570685,126,(no F4 verdict)
315118781,False,11.802502302988175,0.02,0.0016945559074312885,False,0.1253629321292222,68.50200485826466,,,,1,(no F4 verdict)
315702957,False,27.03281039950611,0.5,0.018496042128462342,True,0.3326540766246921,186.5203925948285,0.32941599481063033,233.66360200076798,0.9902659187378153,18,(no F4 verdict)
316236490,False,27.005968408264383,0.5,0.0185144258647281,True,0.3101566421508562,178.19433503559475,0.32115403003454235,234.52724842389134,1.0354575281942122,18,(no F4 verdict)
